ID,DATE,LOCATION,Governorate,CHEMICAL,PERPETRATOR,perp_recode,# OF CASUALTIES,# OF INJURIES,inj_cat,SOURCE
3,19-Mar-13,Damascus,Damascus,Unconfirmed,Unspecified,Unconfirmed,-,-,Unknown,http://www.ohchr.org/SiteCollectionImages/Bodies/HRCouncil/IICISyria/COISyria_ChemicalWeapons.jpg
2,19-Mar-13,Khan al-Asal,Aleppo,Unconfirmed,Unconfirmed,Unconfirmed,25,110+,20-100,http://undocs.org/A/68/663
2,19-Mar-13,Khan al-Asal,Aleppo,Sarin,Unconfirmed,Unconfirmed,20,80+,20-100,https://www.bellingcat.com/news/mena/2015/04/27/chemical-crisis-a-timeline-of-cw-attacks-in-syrias-civil-war/
2,19-Mar-13,Khan al-Asal,Aleppo,Same Hallmarks' as Sarin,Unspecified,Unconfirmed,-,-,20-100,http://www.ohchr.org/SiteCollectionImages/Bodies/HRCouncil/IICISyria/COISyria_ChemicalWeapons.jpg
4,13-Apr-13,Sheikh Maqsoud,Aleppo,Unconfirmed,Unconfirmed,Unconfirmed,-,-,Unknown,http://undocs.org/A/68/663
4,13-Apr-13,Sheikh Maqsoud,Aleppo,Unspecified,Unspecified,Unconfirmed,-,-,Unknown,http://www.ohchr.org/SiteCollectionImages/Bodies/HRCouncil/IICISyria/COISyria_ChemicalWeapons.jpg
5,29-Apr-13,Saraqeb,Idlib,Sarin,Syrian government,Syrian government,1,19,< 20,https://www.bellingcat.com/news/mena/2015/04/27/chemical-crisis-a-timeline-of-cw-attacks-in-syrias-civil-war/
5,29-Apr-13,Saraqeb,Idlib,Unconfirmed,Unspecified,Syrian government,-,-,< 20,http://www.ohchr.org/SiteCollectionImages/Bodies/HRCouncil/IICISyria/COISyria_ChemicalWeapons.jpg
5,29-Apr-13,Saraqeb,Idlib,Sarin,Syrian government,Syrian government,1,23,< 20,http://undocs.org/A/68/663
7,21-Aug-13,Eastern Ghouta,Damascus,Sarin,Syrian government,Syrian government,-,-,"> 1,000",http://undocs.org/A/67/997
7,21-Aug-13,Eastern Ghouta,Damascus,Sarin,Syrian government,Syrian government,"1,500","5,000","> 1,000",https://www.bellingcat.com/news/mena/2015/04/27/chemical-crisis-a-timeline-of-cw-attacks-in-syrias-civil-war/
7,21-Aug-13,Eastern Ghouta,Damascus,Sarin,Syrian government,Syrian government,734,"3,600","> 1,000",https://www.hrw.org/report/2013/09/10/attacks-ghouta/analysis-alleged-use-chemical-weapons-syria
7,21-Aug-13,Eastern Ghouta,Damascus,Sarin,Syrian Government,Syrian government,Mass Casualties,Unspecified,"> 1,000",http://www.ohchr.org/SiteCollectionImages/Bodies/HRCouncil/IICISyria/COISyria_ChemicalWeapons.jpg
6,21-Aug-13,Western Ghouta,Damascus,Sarin,Syrian government,Syrian government,-,-,Unknown,http://undocs.org/A/67/997
